Name,P/B,Focus
Abbott India Ltd. ,0,
Adani Power Ltd. ,0,
Alok Industries Ltd. ,0,
AstraZeneca Pharma Ltd. ,0,
Bandhan Bank Ltd. ,0,
BASF India Ltd. ,0,
Bayer CropScience Ltd. ,0,
Bharat Dynamics Ltd. ,0,
Can Fin Homes Ltd. ,0,
Castrol India Ltd. ,0,
City Union Bank Ltd. ,0,
Colgate Palmolive (India) Ltd. ,0,
DCB Bank Ltd. ,0,
Esab India Ltd. ,0,
Garden Reach Shipbuilders & Engineers Ltd. ,0,
Gillette India Ltd. ,0,
Gulf Oil Lubricants India Ltd. ,0,
HDFC Asset Management Company  Ltd. ,0,
HeidelbergCement India Ltd. ,0,
Hindustan Zinc Ltd. ,0,
Honeywell Automation Ltd. ,0,
ICICI Lombard General Insurance Company Ltd. ,0,
Indian Overseas Bank ,0,
IOL Chemicals and Pharmaceuticals Ltd. ,0,
IRCTC - Indian Railway Catering & Tourism Corp Ltd. ,0,
Johnson Controls -Hitachi Air Conditioning India Ltd. ,0,
La Opala RG Ltd. ,0,
Maharashtra Scooters Ltd. ,0,
Mahanagar Gas Ltd. ,0,
Mahindra Holidays and Resorts India Ltd. ,0,
Nestle India Ltd. ,0,
Orient Cement Ltd. ,0,
Procter and Gamble Hygiene and Health Care Ltd. ,0,
Page Industries Ltd. ,0,
Pfizer Ltd. ,0,
Procter & Gamble Health Ltd. ,0,
Relaxo Footwears Ltd. ,0,
Sanofi India Ltd. ,0,
SBI Life Insurance Company Ltd. ,0,
Schaeffler India  Ltd. ,0,
Schneider Electric Infrastructure Ltd. ,0,
SKF India Ltd. ,0,
South Indian Bank Ltd. ,0,
SpiceJet Ltd. ,0,
Sun Pharma Advanced Research Company Ltd. ,0,
Suzlon Energy Ltd. ,0,
Tasty Bite Eatables Ltd. ,0,
Tata Communications Ltd. ,0,
TCNS Clothing Co Ltd. ,0,
Timken India Ltd. ,0,
UCO Bank ,0,
V-Mart Retail Ltd. ,0,
Venkys Ltd. ,0,
Vinati Organics Ltd. ,0,
VRL Logistics Ltd. ,0,
VST Industries Ltd. ,0,
WABCO India Ltd. ,0,
Ircon International  Ltd. ,0.2,
Nava Bharat Ventures Ltd. ,0.23,
IFCI Ltd. ,0.3,
Jammu and Kashmir Bank Ltd. ,0.35,
PTC India Ltd. ,0.36,
Central Bank of India ,0.38,Y
Dishman Carbogen Amcis Ltd. ,0.39,
Bank Of Baroda ,0.4,Y
TATA MOTORS LTD - DVR Ltd. ,0.4,Y
Indian Bank ,0.42,
Jindal Saw Ltd. ,0.42,
Bank Of India ,0.43,
Oil India Ltd. ,0.43,
Gujarat Mineral Development Corporation Ltd. ,0.44,
Bharat Heavy Electricals Ltd. ,0.48,
Gujarat State Fertilizers & Chemicals Ltd. ,0.49,
NLC India Ltd. ,0.53,
Shipping Corporation of India Ltd. ,0.55,
Gujarat Alkalies and Chemicals Ltd. ,0.56,
Canara Bank ,0.57,
Uflex Ltd. ,0.57,
Punjab National Bank ,0.58,
Great Eastern Shipping Company Ltd. ,0.6,
IRB Infrastructure Developers Ltd. ,0.6,
