3M India Ltd.,16.73,192.65,54.24,3.551806784660767
Aarti Drugs Ltd.,9.61,21.80,38.74,0.5627258647392875
Aarti Industries Ltd.,7.17,44.22,44.37,0.9966193373901285
AAVAS Financiers  Ltd.,8.26,66.31,21.17,3.1322626358053847
Aditya Birla Capital Ltd.,2.35,35.94,44.01,0.8166325835037491
ABB India Ltd.,12.08,--,77.29,--
Abbott India Ltd.,0.00,--,38.74,--
ACC Ltd.,2.71,24.00,38.30,0.6266318537859008
Adani Enterprises Ltd.,5.42,131.38,106.69,1.2314181272846565
Adani Ports and Special Economic Zone Ltd.,5.92,37.39,84.98,0.43998587903036007
Adani Power Ltd.,0.00,--,18.29,--
Adani Total Gas Ltd.,53.45,178.18,43.12,4.132189239332097
Adani Transmission Ltd.,12.86,74.76,18.11,4.128106018774158
Aditya Birla Fashion & Retail Ltd.,6.30,--,127.14,--
Advanced Enzyme Technologies Ltd.,4.57,27.04,30.19,0.8956608148393507
Aegis Logistics Ltd.,6.39,58.08,42.41,1.3694883282244754
AIA Engineering Ltd.,4.88,31.49,20.93,1.504538939321548
Ajanta Pharma Ltd.,5.98,24.89,38.74,0.6424883840991223
Akzo Nobel India Ltd.,8.44,55.66,84.87,0.6558265582655826
Alembic Pharmaceuticals Ltd.,5.73,16.48,38.74,0.42540010325245226
Alkem Laboratories Ltd.,5.21,21.42,38.74,0.5529168817759422
Alkyl Amines Chemicals Ltd.,19.49,51.78,44.37,1.1670047329276538
Allcargo Logistics Ltd.,1.53,19.38,42.41,0.4569676962980429
Alok Industries Ltd.,0.00,--,9.14,--
Amara Raja Batteries Ltd.,4.16,25.56,22.19,1.1518702118071202
Amber Enterprises India Ltd.,9.93,171.27,87.86,1.9493512406100615
Ambuja Cements Ltd.,1.99,24.45,38.30,0.6383812010443864
APL Apollo Tubes Ltd.,11.07,53.95,23.37,2.3085151904150623
Apollo Hospitals Enterprises Ltd.,11.65,200.02,69.89,2.8619258835312635
