3M India Ltd. ,13.63
Aarti Drugs Ltd. ,9.61
Aarti Industries Ltd. ,6.89
AAVAS Financiers  Ltd. ,8.23
Aditya Birla Capital Ltd. ,1.74
ABB India Ltd. ,12.22
Abbott India Ltd. ,0.00
ACC Ltd. ,2.69
Adani Enterprises Ltd. ,4.75
Adani Ports and Special Economic Zone Ltd. ,5.05
Adani Power Ltd. ,0.00
Adani Total Gas Ltd. ,36.46
Adani Transmission Ltd. ,12.93
Aditya Birla Fashion & Retail Ltd. ,4.80
Advanced Enzyme Technologies Ltd. ,4.73
Aegis Logistics Ltd. ,5.93
AIA Engineering Ltd. ,5.03
Ajanta Pharma Ltd. ,6.03
Akzo Nobel India Ltd. ,8.08
Alembic Pharmaceuticals Ltd. ,5.92
Alkem Laboratories Ltd. ,5.44
Alkyl Amines Chemicals Ltd. ,20.05
Allcargo Logistics Ltd. ,1.48
Alok Industries Ltd. ,0.00
Amara Raja Batteries Ltd. ,4.27
Amber Enterprises India Ltd. ,9.38
Ambuja Cements Ltd. ,1.89
APL Apollo Tubes Ltd. ,8.41
Apollo Hospitals Enterprises Ltd. ,12.51
Apollo Tyres Ltd. ,1.51
Ashok Leyland Ltd. ,4.29
Ashoka Buildcon Ltd. ,5.60
Asian Paints Ltd. ,22.14
Aster DM Healthcare Ltd Ltd. ,2.26
Astral Poly Technik Ltd. ,20.47
AstraZeneca Pharma Ltd. ,0.00
Atul Ltd. ,6.30
AU Small Finance Bank Ltd. ,16.66
Aurobindo Pharma Ltd. ,3.28
Avanti Feeds Ltd. ,4.16
Avenue Supermarts Ltd. ,18.03
Axis Bank Ltd. ,2.47
Bajaj Auto Ltd. ,5.54
Bajaj Consumer Care Ltd. ,5.35
Bajaj Electricals Ltd. ,9.06
Bajaj Finance Ltd. ,10.77
Bajaj Finserv Ltd. ,3.27
Bajaj Holdings & Investment Ltd. ,1.24
Balkrishna Industries Ltd. ,6.32
Balmer Lawrie and Company Ltd. ,1.22
Balrampur Chini Mills Ltd. ,1.37
Bandhan Bank Ltd. ,0.00
Bank Of Baroda ,0.49
Bank Of India ,0.55
Bank of Maharashtra ,1.20
BASF India Ltd. ,0.00
Bata India Ltd. ,10.43
Bayer CropScience Ltd. ,0.00
BEML Ltd. ,1.77
Berger Paints India Ltd. ,27.61
Bharat Dynamics Ltd. ,0.00
Bharat Electronics Ltd. ,3.27
Bharat Forge Ltd. ,5.57
Bharti Airtel Ltd. ,3.21
Bharat Heavy Electricals Ltd. ,0.47
Biocon Ltd. ,6.75
Birla Corporation Ltd. ,1.45
Birlasoft Ltd. ,3.58
Bliss GVS Pharma Ltd. ,2.46
Blue Dart Express Ltd. ,22.85
Blue Star Ltd. ,10.11
Bombay Burmah Trading Corporation Ltd. ,1.16
Bombay Dyeing and Manufacturing Company Ltd. ,24.49
Bosch Ltd. ,4.97
Bharat Petroleum Corporation Ltd. ,2.34
Brigade Enterprises Ltd. ,2.35
Britannia Industries Ltd. ,18.60
Cadila Healthcare Ltd. ,4.11
Can Fin Homes Ltd. ,0.00
Canara Bank ,0.71
Caplin Point Laboratories Ltd. ,4.09
Capri Global Capital Ltd. ,3.92
Carborundum Universal Ltd. ,5.14
CARE Ratings Ltd. ,2.67
Castrol India Ltd. ,0.00
CCL Products India Ltd. ,3.46
Ceat Ltd. ,2.24
Central Bank of India ,0.42
Century Textiles and Industries Ltd. ,1.43
Century Plyboards Ltd. ,6.35
Cera Sanitaryware Ltd. ,6.63
CESC Ltd. ,0.85
Crompton Greaves Consumer Electrical Ltd. ,17.10
Chalet Hotels Ltd. ,2.30
Chambal Fertilisers and Chemicals Ltd. ,2.89
Chennai Petroleum Corporation Ltd. ,1.05
Cholamandalam Investment and Finance Company Ltd. ,5.32
Cholamandalam Financial Holdings Ltd. ,1.14
Cipla Ltd. ,4.26
City Union Bank Ltd. ,0.00
Coal India Ltd. ,2.54
Cochin Shipyard Ltd. ,1.28
COFORGE LIMITED Ltd. ,6.70
Colgate Palmolive (India) Ltd. ,0.00
Container Corporation of India Ltd. ,3.20
Coromandel International Ltd. ,5.32
CreditAccess Grameen Ltd. ,3.02
CRISIL Ltd. ,11.13
Cummins India Ltd. ,4.84
Cyient Ltd. ,2.70
Dabur India Ltd. ,13.98
Dalmia Bharat Ltd. ,2.59
DB Corp Ltd. ,0.92
DCB Bank Ltd. ,0.00
DCM Shriram Ltd. ,1.79
Deepak Fertilizers and Petrochemicals Coprn Ltd. ,0.68
Deepak Nitrite Ltd. ,10.13
Delta Corp Ltd. ,2.12
Dhanuka Agritech Ltd. ,4.99
Dilip Buildcon Ltd. ,2.25
Dish TV India Ltd. ,0.57
Dishman Carbogen Amcis Ltd. ,0.34
Divis Laboratories Ltd. ,13.39
Dixon Technologies Ltd. ,40.25
DLF Ltd. ,2.31
Dr Lal PathLabs Ltd. ,19.20
Dr Reddys Laboratories Ltd. ,5.02
eClerx Services Ltd. ,2.50
Edelweiss Financial Services Ltd. ,0.87
Eicher Motors Ltd. ,7.50
EID Parry (India) Ltd. ,1.08
EIH Ltd. ,1.75
Emami Ltd. ,11.58
Endurance Technologies Ltd. ,7.03
Engineers India Ltd. ,1.97
EPL Ltd. ,4.61
Equitas Holdings Ltd. ,1.00
Esab India Ltd. ,0.00
Escorts Ltd. ,5.95
Exide Industries Ltd. ,2.75
FDC Ltd. ,3.27
Federal Bank Ltd. ,1.14
Fine Organics Industries Ltd. ,11.86
Finolex Cables Ltd. ,1.92
Finolex Industries Ltd. ,4.16
Firstsource Solutions Ltd. ,2.46
Force Motors Ltd. ,0.91
Fortis Healthcare  Ltd. ,1.71
Future Consumer  Ltd. ,2.09
Future Retail Ltd. ,1.23
GAIL India Ltd. ,1.22
Galaxy Surfactants Ltd. ,7.30
Garden Reach Shipbuilders & Engineers Ltd. ,0.00
Garware Technical Fibres Ltd. ,6.41
Gateway Distriparks Ltd. ,1.36
GE Power India Ltd. ,2.02
Great Eastern Shipping Company Ltd. ,0.56
General Insurance Corporation of India Ltd. ,0.92
Gillette India Ltd. ,0.00
GlaxoSmithKline Pharmaceuticals Ltd. ,13.38
Glenmark Pharma Ltd. ,2.30
GMM Pfaudler Ltd. ,15.92
GMR Infrastructure Ltd. ,70.42
Gujarat Narmada Valley Fertilizers & Chemicals Ltd. ,0.68
Godfrey Phillips India Ltd. ,2.18
Godrej Agrovet Ltd. ,4.29
Godrej Consumer Products Ltd. ,9.35
Godrej Industries Ltd. ,1.61
Godrej Properties Ltd. ,7.95
Granules India Ltd. ,4.75
Graphite India Ltd. ,1.96
Grasim Industries Ltd. ,0.90
Greaves Cotton Ltd. ,2.83
Grindwell Norton Ltd. ,8.01
Gujarat State Fertilizers & Chemicals Ltd. ,0.45
Gujarat Alkalies and Chemicals Ltd. ,0.51
Gujarat Heavy Chemicals Ltd. ,0.93
Gujarat Mineral Development Corporation Ltd. ,0.42
Gujarat State Petronet Ltd. ,2.08
Gujarat Fluorochemicals Ltd. ,1.70
Gujarat Gas Ltd. ,9.03
Gujarat Pipavav Port Ltd. ,1.98
Gulf Oil Lubricants India Ltd. ,0.00
Hathway Cable and Datacom Ltd. ,1.43
Havells India Ltd. ,17.42
Hawkins Cooker Ltd. ,--
HCL Technologies Ltd. ,5.01
Housing Development Finance Corporation Ltd. ,3.59
HDFC Asset Management Company  Ltd. ,0.00
